,open,high,low,close,volume
2016-09-23,130.921875,131.078125,130.859375,131.0,667300.0
2016-09-26,131.0625,131.453125,131.0,131.34375,762908.0
2016-09-27,131.359375,131.671875,131.140625,131.484375,1064059.0
2016-09-28,131.515625,131.625,131.328125,131.359375,1008954.0
2016-09-29,131.375,131.671875,131.171875,131.484375,1081563.0
2016-09-30,131.5,131.734375,131.0625,131.21875,1620454.0
2016-10-03,131.21875,131.234375,130.90625,130.953125,758145.0
2016-10-04,130.921875,131.03125,130.4375,130.46875,1356297.0
2016-10-05,130.46875,130.609375,130.09375,130.296875,1169448.0
2016-10-06,130.234375,130.390625,129.9375,129.96875,1239651.0
2016-10-07,130.0,130.21875,129.71875,130.1875,1426413.0
2016-10-10,130.109375,130.171875,129.65625,129.8125,293680.0
2016-10-11,129.8125,130.03125,129.6875,129.859375,1077838.0
2016-10-12,129.84375,129.90625,129.53125,129.890625,1130806.0
2016-10-13,129.890625,130.265625,129.875,130.140625,1096072.0
2016-10-14,130.140625,130.21875,129.765625,129.828125,1191367.0
2016-10-17,129.796875,130.203125,129.703125,130.125,813612.0
2016-10-18,130.140625,130.359375,129.984375,130.359375,1096298.0
2016-10-19,130.359375,130.453125,130.125,130.34375,945222.0
2016-10-20,130.3125,130.484375,130.125,130.171875,1032458.0
2016-10-21,130.1875,130.40625,130.140625,130.359375,709467.0
2016-10-24,130.359375,130.484375,130.078125,130.140625,778165.0
2016-10-25,130.140625,130.3125,129.9375,130.1875,981293.0
2016-10-26,130.1875,130.296875,129.859375,129.90625,1011486.0
2016-10-27,129.890625,129.90625,129.296875,129.421875,1547836.0
2016-10-28,129.421875,129.671875,129.203125,129.546875,1355102.0
2016-10-31,129.59375,129.71875,129.484375,129.6875,1051909.0
2016-11-01,129.671875,129.90625,129.265625,129.734375,1432195.0
2016-11-02,129.734375,130.265625,129.71875,130.015625,1422836.0
2016-11-03,130.0,130.3125,129.796875,130.015625,1038973.0
2016-11-04,130.015625,130.375,129.9375,130.328125,1288958.0
2016-11-07,129.859375,130.0,129.765625,129.84375,752587.0
2016-11-08,129.84375,130.0,129.34375,129.515625,983605.0
2016-11-09,129.515625,131.0,127.828125,128.0625,4071195.0
2016-11-10,128.09375,128.5,127.296875,127.328125,2891090.0
2016-11-11,127.359375,127.6875,127.078125,127.234375,590800.0
2016-11-14,127.21875,127.21875,125.953125,126.359375,2286002.0
2016-11-15,126.40625,126.984375,126.328125,126.59375,1656312.0
2016-11-16,126.578125,126.6875,125.890625,126.453125,1742111.0
2016-11-17,126.5,126.765625,125.828125,125.84375,1527966.0
2016-11-18,125.84375,126.15625,125.3125,125.390625,1808300.0
2016-11-21,125.375,125.875,125.3125,125.75,1555695.0
2016-11-22,125.796875,125.96875,125.546875,125.71875,2154276.0
2016-11-23,125.71875,125.921875,124.859375,125.390625,2972793.0
2016-11-25,125.375,125.390625,124.796875,125.25,1454563.0
2016-11-28,125.359375,125.734375,125.3125,125.71875,2467310.0
2016-11-29,125.703125,125.828125,125.359375,125.8125,1195658.0
2016-11-30,125.796875,125.828125,124.984375,125.09375,345326.0
2016-12-01,125.09375,125.171875,124.34375,124.703125,89781.0
2016-12-02,124.734375,125.375,124.734375,125.296875,41708.0
2016-12-05,125.609375,125.796875,124.734375,125.140625,49669.0
2016-12-06,125.15625,125.34375,125.125,125.21875,13647.0
2016-12-07,125.234375,125.578125,125.140625,125.578125,17059.0
2016-12-08,125.609375,125.609375,124.953125,125.09375,18380.0
2016-12-09,125.0,125.28125,124.65625,124.6875,6102.0
2016-12-12,124.609375,124.90625,124.296875,124.765625,5658.0
2016-12-13,124.875,125.078125,124.59375,124.75,3215.0
2016-12-14,124.890625,125.15625,123.734375,123.796875,6437.0
2016-12-15,123.859375,123.859375,123.265625,123.515625,8268.0
2016-12-16,123.546875,123.9375,123.453125,123.59375,3517.0
2016-12-19,123.65625,124.171875,123.65625,124.015625,3280.0
2016-12-20,124.0,124.09375,123.671875,123.921875,2136.0
2016-12-21,123.21875,123.375,123.015625,123.359375,483102.0
2016-12-22,123.359375,123.421875,123.046875,123.25,565895.0
2016-12-23,123.265625,123.46875,123.203125,123.34375,266549.0
2016-12-27,123.34375,123.34375,123.09375,123.1875,251597.0
2016-12-28,123.1875,123.6875,123.15625,123.625,600872.0
2016-12-29,123.640625,124.078125,123.609375,123.9375,734747.0
2016-12-30,123.96875,124.328125,123.859375,124.140625,762153.0
2017-01-03,124.125,124.234375,123.578125,124.109375,1390804.0
2017-01-04,124.140625,124.28125,123.859375,124.203125,1083390.0
2017-01-05,124.203125,125.03125,124.109375,124.96875,1814119.0
2017-01-06,124.953125,125.328125,124.3125,124.375,1476475.0
2017-01-09,124.390625,124.859375,124.234375,124.84375,862376.0
2017-01-10,124.828125,124.921875,124.625,124.765625,874207.0
2017-01-11,124.78125,125.203125,124.578125,124.734375,1421042.0
2017-01-12,124.765625,125.328125,124.75,124.875,1374574.0
2017-01-13,124.875,125.3125,124.34375,124.65625,1545281.0
2017-01-17,124.703125,125.421875,124.6875,125.25,1557354.0
2017-01-18,125.234375,125.28125,124.3125,124.328125,1252588.0
2017-01-19,124.3125,124.484375,123.859375,124.046875,1737122.0
2017-01-20,124.0625,124.296875,123.78125,124.203125,1415451.0
2017-01-23,124.171875,124.984375,124.15625,124.84375,1625084.0
2017-01-24,124.859375,124.9375,124.203125,124.25,1109447.0
2017-01-25,124.296875,124.390625,123.734375,123.890625,1362491.0
2017-01-26,123.921875,124.015625,123.5625,123.96875,1291317.0
2017-01-27,123.96875,124.1875,123.796875,124.140625,1041413.0
2017-01-30,124.203125,124.359375,124.0625,124.109375,1174455.0
2017-01-31,124.140625,124.671875,124.0625,124.4375,2019623.0
2017-02-01,124.453125,124.46875,123.90625,124.328125,1462974.0
2017-02-02,124.3125,124.703125,124.234375,124.328125,1326559.0
2017-02-03,124.34375,124.828125,124.09375,124.46875,1818335.0
2017-02-06,124.421875,125.015625,124.40625,124.984375,1236674.0
2017-02-07,124.9375,125.3125,124.75,125.03125,1352210.0
2017-02-08,125.046875,125.5625,124.984375,125.46875,1641044.0
2017-02-09,125.484375,125.484375,124.84375,124.90625,1388857.0
2017-02-10,124.921875,124.921875,124.625,124.78125,1136427.0
2017-02-13,124.734375,124.75,124.4375,124.546875,793175.0
2017-02-14,124.546875,124.625,123.96875,124.21875,1491250.0
2017-02-15,124.203125,124.265625,123.765625,124.03125,1386839.0
2017-02-16,124.0,124.53125,123.953125,124.46875,1324288.0
2017-02-17,124.4375,124.90625,124.34375,124.765625,1070748.0
2017-02-21,124.6875,124.796875,124.390625,124.671875,1444955.0
2017-02-22,124.671875,124.984375,124.4375,124.78125,2530359.0
2017-02-23,124.78125,125.15625,124.734375,125.15625,3260326.0
2017-02-24,125.15625,125.671875,125.078125,125.625,2262311.0
2017-02-27,125.640625,125.640625,125.109375,125.15625,1216283.0
2017-02-28,125.15625,125.359375,124.671875,124.8125,392282.0
2017-03-01,124.796875,124.796875,124.171875,124.328125,138917.0
2017-03-02,124.296875,124.359375,123.9375,124.171875,62495.0
