,open,high,low,close,volume
2004-09-24,111.015625,111.109375,110.765625,110.90625,459237.0
2004-09-27,110.890625,111.1875,110.796875,111.109375,305842.0
2004-09-28,111.15625,111.375,111.046875,111.140625,394613.0
2004-09-29,111.1875,111.21875,110.703125,110.75,415604.0
2004-09-30,110.765625,110.96875,110.34375,110.75,513611.0
2004-10-01,110.734375,110.75,110.40625,110.484375,394976.0
2004-10-04,110.484375,110.546875,110.203125,110.5,302642.0
2004-10-05,110.515625,110.59375,110.421875,110.546875,246733.0
2004-10-06,110.5625,110.5625,110.234375,110.28125,286653.0
2004-10-07,110.25,110.34375,110.078125,110.1875,360945.0
2004-10-08,110.171875,110.875,110.171875,110.796875,445685.0
2004-10-11,,,,,
2004-10-12,110.796875,111.125,110.796875,110.953125,279538.0
2004-10-13,110.9375,111.265625,110.75,111.15625,304285.0
2004-10-14,111.265625,111.5,111.140625,111.453125,352950.0
2004-10-15,111.421875,111.59375,110.90625,111.203125,542305.0
2004-10-18,111.1875,111.265625,111.03125,111.21875,219281.0
2004-10-19,111.234375,111.28125,110.890625,111.21875,384312.0
2004-10-20,111.25,111.53125,111.234375,111.453125,319991.0
2004-10-21,111.46875,111.640625,111.3125,111.375,988698.0
2004-10-22,111.328125,111.53125,111.203125,111.484375,277794.0
2004-10-25,111.5625,111.78125,111.546875,111.578125,299497.0
2004-10-26,111.53125,111.703125,111.4375,111.53125,313920.0
2004-10-27,111.453125,111.65625,111.0,111.0625,543212.0
2004-10-28,111.046875,111.328125,110.703125,111.15625,516009.0
2004-10-29,111.265625,111.421875,111.0625,111.375,382226.0
2004-11-01,111.390625,111.390625,111.078125,111.125,309827.0
2004-11-02,111.171875,111.34375,111.03125,111.21875,227533.0
2004-11-03,111.328125,111.359375,110.65625,111.296875,557124.0
2004-11-04,111.25,111.390625,111.109375,111.1875,401613.0
2004-11-05,111.125,111.171875,110.0,110.515625,759152.0
2004-11-08,110.53125,110.53125,110.28125,110.390625,324225.0
2004-11-09,110.359375,110.515625,110.328125,110.390625,310039.0
2004-11-10,110.34375,110.46875,110.15625,110.234375,454623.0
2004-11-11,,,,,
2004-11-12,110.328125,110.546875,110.25,110.390625,339884.0
2004-11-15,110.484375,110.53125,110.3125,110.390625,223109.0
2004-11-16,110.375,110.46875,110.140625,110.28125,433575.0
2004-11-17,110.28125,110.6875,110.015625,110.609375,588315.0
2004-11-18,110.65625,110.734375,110.46875,110.625,415696.0
2004-11-19,110.640625,110.78125,109.9375,110.234375,625943.0
2004-11-22,110.21875,110.328125,110.15625,110.265625,361489.0
2004-11-23,110.234375,110.40625,110.0625,110.203125,539268.0
2004-11-24,110.140625,110.265625,110.03125,110.078125,334900.0
2004-11-26,110.09375,110.140625,109.5625,109.953125,359513.0
2004-11-29,109.921875,110.015625,109.5625,109.625,725235.0
2004-11-30,109.703125,109.828125,109.546875,109.71875,352554.0
2004-12-01,109.796875,109.953125,109.671875,109.734375,244959.0
2004-12-02,109.78125,109.8125,109.484375,109.671875,200556.0
2004-12-03,109.609375,110.71875,109.609375,110.25,95143.0
2004-12-06,110.21875,110.453125,110.21875,110.375,55294.0
2004-12-07,110.375,110.40625,110.25,110.375,66097.0
2004-12-08,110.390625,110.8125,110.328125,110.75,67839.0
2004-12-09,110.734375,110.984375,110.640625,110.734375,74449.0
2004-12-10,110.78125,110.9375,110.734375,110.765625,65932.0
2004-12-13,110.78125,110.875,110.640625,110.734375,50228.0
2004-12-14,110.6875,110.90625,110.609375,110.84375,30827.0
2004-12-15,110.859375,111.046875,110.828125,110.9375,43822.0
2004-12-16,110.9375,110.9375,110.546875,110.546875,17222.0
2004-12-17,110.5625,110.640625,110.375,110.484375,90314.0
2004-12-20,110.515625,110.515625,110.390625,110.421875,22696.0
2004-12-21,109.65625,109.71875,109.515625,109.6875,128252.0
2004-12-22,109.6875,109.734375,109.546875,109.671875,180319.0
2004-12-23,109.703125,109.78125,109.65625,109.671875,93333.0
2004-12-27,109.71875,109.71875,109.296875,109.375,131839.0
2004-12-28,109.34375,109.421875,109.109375,109.359375,151940.0
2004-12-29,109.34375,109.375,109.140625,109.1875,99121.0
2004-12-30,109.171875,109.453125,109.140625,109.390625,134771.0
2004-12-31,109.390625,109.5625,109.34375,109.53125,70749.0
2005-01-03,109.546875,109.546875,109.25,109.4375,248953.0
2005-01-04,109.40625,109.515625,108.90625,109.0625,439813.0
2005-01-05,109.0,109.140625,108.90625,109.03125,331459.0
2005-01-06,108.984375,109.171875,108.953125,109.109375,316237.0
2005-01-07,109.125,110.0,108.5625,108.984375,532962.0
2005-01-10,109.03125,109.03125,108.84375,108.953125,235443.0
2005-01-11,108.953125,109.046875,108.8125,109.015625,317334.0
2005-01-12,109.015625,109.125,108.953125,109.0625,362669.0
2005-01-13,109.078125,109.359375,109.015625,109.265625,388526.0
2005-01-14,109.328125,109.390625,109.0,109.078125,338960.0
2005-01-18,109.078125,109.09375,108.90625,109.0625,292110.0
2005-01-19,109.0625,109.171875,108.9375,109.078125,431363.0
2005-01-20,109.125,109.3125,109.03125,109.28125,405599.0
2005-01-21,109.265625,109.5625,109.25,109.515625,376335.0
2005-01-24,109.5,109.5625,109.359375,109.46875,255746.0
2005-01-25,109.46875,109.46875,109.140625,109.25,436046.0
2005-01-26,109.234375,109.3125,109.125,109.15625,302820.0
2005-01-27,109.125,109.140625,108.890625,109.0625,340268.0
2005-01-28,109.0,109.390625,109.0,109.328125,407437.0
2005-01-31,109.25,109.28125,109.09375,109.25,313289.0
2005-02-01,109.25,109.375,109.15625,109.265625,375475.0
2005-02-02,109.25,109.34375,109.140625,109.1875,300507.0
2005-02-03,109.140625,109.140625,108.9375,109.03125,369015.0
2005-02-04,109.015625,109.5625,109.0,109.421875,626598.0
2005-02-07,109.375,109.484375,109.296875,109.4375,216564.0
2005-02-08,109.40625,109.484375,109.234375,109.390625,457517.0
2005-02-09,109.4375,109.890625,109.328125,109.859375,623922.0
2005-02-10,109.828125,109.875,109.515625,109.578125,434749.0
2005-02-11,109.515625,109.65625,109.28125,109.359375,403568.0
2005-02-14,109.359375,109.40625,109.234375,109.375,300543.0
2005-02-15,109.375,109.453125,109.28125,109.328125,305790.0
2005-02-16,109.3125,109.5,108.921875,108.984375,624407.0
2005-02-17,108.984375,109.046875,108.859375,109.0,394587.0
2005-02-18,109.0,109.0625,108.65625,108.71875,475581.0
2005-02-22,108.671875,108.765625,108.609375,108.65625,432294.0
2005-02-23,108.65625,108.90625,108.46875,108.65625,625939.0
2005-02-24,108.703125,108.796875,108.453125,108.515625,573146.0
2005-02-25,108.46875,108.578125,108.375,108.5,651958.0
2005-02-28,108.5,108.578125,107.96875,108.125,366483.0
2005-03-01,108.046875,108.203125,108.03125,108.109375,201089.0
2005-03-02,108.140625,108.21875,108.015625,108.171875,106444.0
2005-03-03,108.1875,108.28125,108.078125,108.125,99320.0
2005-03-04,108.09375,108.40625,108.0,108.328125,86944.0
2005-03-07,108.328125,108.40625,108.234375,108.265625,34087.0
2005-03-08,108.265625,108.28125,107.90625,108.015625,61608.0
2005-03-09,107.953125,108.015625,107.609375,107.625,70390.0
2005-03-10,107.578125,107.765625,107.46875,107.734375,43290.0
2005-03-11,107.59375,107.6875,107.34375,107.390625,28834.0
2005-03-14,107.296875,107.453125,107.21875,107.421875,13149.0
2005-03-15,107.453125,107.59375,107.296875,107.328125,20711.0
2005-03-16,107.359375,107.703125,107.328125,107.453125,15707.0
2005-03-17,107.6875,107.765625,107.625,107.640625,34475.0
2005-03-18,107.578125,107.609375,107.515625,107.515625,11826.0
2005-03-21,107.40625,107.546875,107.40625,107.546875,10498.0
2005-03-22,107.0625,107.328125,106.453125,106.59375,613457.0
2005-03-23,106.5,106.625,106.125,106.515625,627487.0
2005-03-24,106.5625,106.6875,106.5,106.546875,281741.0
2005-03-28,106.546875,106.546875,106.34375,106.40625,171159.0
2005-03-29,106.359375,106.625,106.328125,106.5625,276247.0
2005-03-30,106.609375,106.75,106.515625,106.6875,337512.0
2005-03-31,106.734375,107.125,106.6875,107.09375,489152.0
2005-04-01,107.09375,107.625,106.828125,107.296875,761763.0
2005-04-04,107.234375,107.46875,107.109375,107.328125,287744.0
2005-04-05,107.3125,107.390625,107.1875,107.265625,290987.0
2005-04-06,107.28125,107.53125,107.265625,107.453125,326686.0
2005-04-07,107.5,107.65625,107.25,107.3125,567815.0
2005-04-08,107.28125,107.296875,107.0625,107.203125,347239.0
2005-04-11,107.25,107.40625,107.125,107.328125,272246.0
2005-04-12,107.390625,107.78125,107.21875,107.71875,626300.0
2005-04-13,107.71875,107.953125,107.609375,107.796875,540651.0
2005-04-14,107.84375,108.21875,107.796875,107.984375,570582.0
2005-04-15,108.203125,108.5625,108.09375,108.34375,663870.0
2005-04-18,108.5,108.78125,108.296875,108.40625,523346.0
2005-04-19,108.296875,108.75,108.15625,108.640625,666672.0
2005-04-20,108.578125,108.765625,108.140625,108.640625,680034.0
2005-04-21,108.78125,108.78125,108.0625,108.171875,691259.0
2005-04-22,108.171875,108.421875,108.171875,108.328125,280871.0
2005-04-25,108.3125,108.421875,108.171875,108.265625,257432.0
2005-04-26,108.25,108.390625,108.0625,108.21875,429492.0
2005-04-27,108.203125,108.53125,108.078125,108.359375,488921.0
2005-04-28,108.390625,108.859375,108.359375,108.703125,432116.0
2005-04-29,108.796875,108.828125,108.40625,108.453125,526266.0
2005-05-02,108.421875,108.625,108.375,108.515625,276726.0
2005-05-03,108.53125,108.703125,108.328125,108.390625,372518.0
2005-05-04,108.578125,108.65625,108.34375,108.609375,567836.0
